|partida|mandante|placar_mandante|visitante|placar_visitante|data_hora|Rodada
83|Criciúma x Volta Redonda|CRI|0|VRE|0|2025-05-11T16:00|7ª RODADA
84|Cuiabá x Operário-PR|CUI|2|OPE|3|2025-05-11T18:30|7ª RODADA
85|Novorizontino x Ferroviária|NOV|2|AFE|2|2025-05-11T18:30|7ª RODADA
86|Botafogo-SP x Athletic Club|BSP|0|ATH|3|2025-05-12T19:00|7ª RODADA
87|Amazonas x CRB|AMA|1|CRB|1|2025-05-12T21:00|7ª RODADA
88|Remo x Vila Nova|REM|2|VNO|0|2025-05-14T19:00|7ª RODADA
89|América-MG x Paysandu|AME|2|PAY|2|2025-05-14T19:30|7ª RODADA
90|Ferroviária x Coritiba|AFE|2|CFC|1|2025-05-02T21:35|6ª RODADA
91|Remo x Amazonas|REM|1|AMA|0|2025-05-03T16:00|6ª RODADA
92|Volta Redonda x Paysandu|VRE|1|PAY|0|2025-05-03T20:30|6ª RODADA
93|Atlético-GO x Novorizontino|ACG|1|NOV|0|2025-05-04T16:00|6ª RODADA
94|Athletico-PR x Botafogo-SP|CAP|1|BSP|4|2025-05-04T18:30|6ª RODADA
95|Chapecoense x Criciúma|CHA|2|CRI|1|2025-05-04T18:30|6ª RODADA
96|Operário-PR x América-MG|OPE|1|AME|0|2025-05-04T20:30|6ª RODADA
97|Goiás x Avaí|GOI|2|AVA|1|2025-05-05T19:00|6ª RODADA
98|CRB x Cuiabá|CRB|1|CUI|1|2025-05-06T19:30|6ª RODADA
99|Athletic Club x Vila Nova|ATH|0|VNO|1|2025-05-06T21:30|6ª RODADA
100|Novorizontino x Athletico-PR|NOV|2|CAP|1|2025-04-24T21:35|5ª RODADA
101|Criciúma x Remo|CRI|1|REM|1|2025-04-25T19:00|5ª RODADA
102|Vila Nova x Chapecoense|VNO|1|CHA|0|2025-04-25T21:00|5ª RODADA
103|Coritiba x Operário-PR|CFC|2|OPE|0|2025-04-26T16:00|5ª RODADA
104|Avaí x América-MG|AVA|3|AME|0|2025-04-26T20:00|5ª RODADA
105|Athletic Club x Volta Redonda|ATH|2|VRE|1|2025-04-27T16:00|5ª RODADA
106|Amazonas x Atlético-GO|AMA|1|ACG|1|2025-04-27T16:30|5ª RODADA
107|Paysandu x CRB|PAY|1|CRB|1|2025-04-27T17:00|5ª RODADA
108|Cuiabá x Ferroviária|CUI|1|AFE|0|2025-04-27T19:00|5ª RODADA
109|Botafogo-SP x Goiás|BSP|0|GOI|1|2025-04-28T19:30|5ª RODADA
110|Operário-PR x Paysandu|OPE|0|PAY|0|2025-04-19T16:00|4ª RODADA
111|Vila Nova x Botafogo-SP|VNO|2|BSP|0|2025-04-20T16:00|4ª RODADA
112|Chapecoense x Athletic Club|CHA|1|ATH|0|2025-04-20T18:00|4ª RODADA
113|Athletico-PR x CRB|CAP|2|CRB|0|2025-04-20T19:00|4ª RODADA
114|América-MG x Goiás|AME|1|GOI|0|2025-04-20T20:00|4ª RODADA
115|Amazonas x Avaí|AMA|0|AVA|2|2025-04-21T18:00|4ª RODADA
116|Novorizontino x Criciúma|NOV|1|CRI|1|2025-04-21T19:00|4ª RODADA
117|Remo x Coritiba|REM|1|CFC|0|2025-04-21T21:30|4ª RODADA
118|Atlético-GO x Cuiabá|ACG|1|CUI|1|2025-04-22T19:30|4ª RODADA
119|Volta Redonda x Ferroviária|VRE|0|AFE|0|2025-04-22T20:00|4ª RODADA
120|Cuiabá x Athletico-PR|CUI|2|CAP|1|2025-04-15T19:00|3ª RODADA
121|Paysandu x Chapecoense|PAY|0|CHA|2|2025-04-16T20:00|3ª RODADA
122|Avaí x Operário-PR|AVA|1|OPE|0|2025-04-16T20:00|3ª RODADA
123|Coritiba x Novorizontino|CFC|0|NOV|0|2025-04-16T21:00|3ª RODADA
124|Goiás x Vila Nova|GOI|2|VNO|2|2025-04-17T19:00|3ª RODADA
125|Criciúma x Athletic Club|CRI|4|ATH|0|2025-04-17T20:00|3ª RODADA
126|CRB x Volta Redonda|CRB|1|VRE|0|2025-04-17T20:00|3ª RODADA
127|Botafogo-SP x Remo|BSP|2|REM|2|2025-04-17T20:00|3ª RODADA
128|Ferroviária x Atlético-GO|AFE|2|ACG|0|2025-04-17T21:00|3ª RODADA
129|América-MG x Amazonas|AME|3|AMA|1|2025-04-17T21:35|3ª RODADA
130|Athletico-PR x Criciúma|CAP|2|CRI|1|2025-04-10T19:00|2ª RODADA
131|Cuiabá x Avaí|CUI|2|AVA|2|2025-04-10T21:30|2ª RODADA
132|Chapecoense x Coritiba|CHA|1|CFC|2|2025-04-12T16:00|2ª RODADA
133|Vila Nova x Paysandu|VNO|1|PAY|0|2025-04-12T18:00|2ª RODADA
134|Amazonas x Ferroviária|AMA|0|AFE|0|2025-04-12T19:00|2ª RODADA
135|Novorizontino x Volta Redonda|NOV|1|VRE|0|2025-04-12T19:00|2ª RODADA
136|Operário-PR x Goiás|OPE|1|GOI|2|2025-04-12T20:00|2ª RODADA
137|Remo x América-MG|REM|2|AME|0|2025-04-13T16:00|2ª RODADA
138|Athletic Club x CRB|ATH|1|CRB|2|2025-04-13T16:00|2ª RODADA
139|Botafogo-SP x Atlético-GO|BSP|1|ACG|1|2025-04-13T19:00|2ª RODADA
140|Goiás x Amazonas|GOI|1|AMA|0|2025-04-04T19:00|1ª RODADA
141|Paysandu x Athletico-PR|PAY|1|CAP|2|2025-04-04T21:00|1ª RODADA
142|Criciúma x Operário-PR|CRI|1|OPE|2|2025-04-04T21:00|1ª RODADA
143|Coritiba x Vila Nova|CFC|1|VNO|0|2025-04-05T16:00|1ª RODADA
144|CRB x Chapecoense|CRB|1|CHA|0|2025-04-05T16:00|1ª RODADA
145|América-MG x Botafogo-SP|AME|1|BSP|0|2025-04-05T18:30|1ª RODADA
146|Ferroviária x Remo|AFE|1|REM|1|2025-04-06T19:00|1ª RODADA
147|Volta Redonda x Cuiabá|VRE|0|CUI|1|2025-04-06T19:00|1ª RODADA
148|Avaí x Novorizontino|AVA|1|NOV|1|2025-04-06T20:00|1ª RODADA
149|Atlético-GO x Athletic Club|ACG|4|ATH|2|2025-04-07T19:00|1ª RODADA
